model,embedding,n_variants,n_genes,iid_auroc,iid_auprc,iid_ci_lo,iid_ci_hi,ho_auroc,ho_auprc,ho_ci_lo,ho_ci_hi
evo2-7b-tw,l00_subref,211482,3798,0.7712542306857921,0.7951919250880793,,,,,,
evo2-7b-tw,l01_subref,211482,3798,0.838244106497235,0.8743787599371884,,,,,,
evo2-7b-tw,l02_subref,211482,3798,0.8585386868249721,0.8939947363404196,,,,,,
evo2-7b-tw,l03_subref,211482,3798,0.8708734911603793,0.9080818398085824,,,,,,
evo2-7b-tw,l04_subref,211482,3798,0.8784980500924505,0.9130660313346104,,,,,,
evo2-7b-tw,l05_subref,211482,3798,0.8830184553033088,0.9203096260880512,,,,,,
evo2-7b-tw,l06_subref,211482,3798,0.8879198268065613,0.923896427024994,,,,,,
evo2-7b-tw,l07_subref,211482,3798,0.8846081041429195,0.9224682040400344,,,,,,
evo2-7b-tw,l08_subref,211482,3798,0.8907930069517767,0.927490869613479,,,,,,
evo2-7b-tw,l09_subref,211482,3798,0.904431920466352,0.9365155867104336,,,,,,
evo2-7b-tw,l10_subref,211482,3798,0.903745541093592,0.9356401729704742,,,,,,
evo2-7b-tw,l11_subref,211482,3798,0.9007793753041982,0.9334880820874976,,,,,,
evo2-7b-tw,l12_subref,211482,3798,0.9004232236708338,0.932271316358616,,,,,,
evo2-7b-tw,l13_subref,211482,3798,0.8982665377324178,0.9311926291406388,,,,,,
evo2-7b-tw,l14_subref,211482,3798,0.8973834122851427,0.9305048969277712,,,,,,
evo2-7b-tw,l15_subref,211482,3798,0.9002466272067966,0.9311040459411304,,,,,,
evo2-7b-tw,l16_subref,211482,3798,0.9145522937920731,0.9402042382793088,,,,,,
evo2-7b-tw,l17_subref,211482,3798,0.9089376674505872,0.9373466322712646,,,,,,
evo2-7b-tw,l18_subref,211482,3798,0.911464850158484,0.9384360203877014,,,,,,
evo2-7b-tw,l19_subref,211482,3798,0.9207226792650351,0.9438777276651058,,,,,,
evo2-7b-tw,l20_subref,211482,3798,0.9370819668665888,0.9553319149750724,,,,,,
evo2-7b-tw,l21_subref,211482,3798,0.9531411203173584,0.9652472095608512,,,,,,
evo2-7b-tw,l22_subref,211482,3798,0.9615467886277638,0.9713483275126308,,,,,,
evo2-7b-tw,l23_subref,211482,3798,0.9706970487815988,0.9771785818314004,,,,,,
evo2-7b-tw,l24_subref,211482,3798,0.9712800221872036,0.9773422475701026,,,,,,
evo2-7b-tw,l25_subref,211482,3798,0.9765142088992552,0.9811475619328628,,,,,,
evo2-7b-tw,l26_subref,211482,3798,0.9796208897081304,0.9829668823284043,,,,,,
evo2-7b-tw,l27_subref,211482,3798,0.982578594226576,0.9851067894917028,,,,,,
evo2-7b-tw,l28_subref,211482,3798,0.9812700223895048,0.9828810354533614,,,,,,
evo2-7b-tw,l29_subref,211482,3798,0.9661143318507917,0.9714549178825644,,,,,,
evo2-7b-tw,l30_subref,211482,3798,0.970349811282237,0.9746406264878836,,,,,,
evo2-7b-tw,l31_subref,211482,3798,0.9700649268754982,0.9744044917343172,,,,,,
